# This file contains the absolute magnitudes for the ZAMS using blackbody assumptions and interpolated spectra.
# The ZAMS is based on MESA single star models with Z=0.002
# I have used Kurucz models from the grid/data002/ygoetberg/spectral_libraries/Kurucz/gridm10odfnew/coubesm10k2odfnew.dat to model the spectra of the ZAMS.
Minit	UVW2_BB 	 UVW2_spec	UVM2_BB 	 UVM2_spec	UVW1_BB 	 UVW1_spec	U_BB 	 U_spec	B_BB 	 B_spec	V_BB 	 V_spec	R_BB 	 R_spec	I_BB 	 I_spec	J_BB 	 J_spec	H_BB 	 H_spec	Ks_BB 	 Ks_spec
2.0	-0.258406124579624	-0.3649391196900928	-0.09184037274628518	0.09915812847949802	-0.9437906736204593	-0.564517693868865	-1.0534121280782458	-0.5171701323915313	-0.7279149300646461	-0.7460216336102411	-0.5723314659836092	-0.49795563009124605	-1.008628362310278	-0.8363249601439606	-0.8005988030282194	-0.5391302236999919	-2.1431422312460144	-1.1456518745156743	-2.3900725851871893	-0.2557722262799458	-3.2562233877002638	0.00944613727132221
2.21	-0.7656307649976046	-0.8061409626747241	-0.562532257876961	-0.3282797077329342	-1.3720573707477235	-0.9712956071096213	-1.3874742837349952	-0.8333646918496534	-1.0241542971848936	-0.9774862357396541	-0.8343052143644454	-0.7088409478173203	-1.2529562027065932	-1.0402884444883835	-1.0236286854715884	-0.7314929491542782	-2.3502378525389345	-1.3115539695220246	-2.597168206480109	-0.4149611486930263	-3.463319008993184	-0.1432070084176326
2.44	-1.2683846776196765	-1.2461049833887574	-1.0297834523154297	-0.7555053370155962	-1.8013377515812292	-1.3807923594078475	-1.7285440275667427	-1.158335735207435	-1.3306847699378226	-1.2246085057645006	-1.1095145891573577	-0.9376377550879343	-1.512093628257099	-1.2626017760257922	-1.263321738248885	-0.9430394718349971	-2.5753724563442577	-1.498942804903637	-2.822302810285432	-0.5959826892641725	-3.688453612798507	-0.3184149198910089
2.7	-1.7371519961752713	-1.6628543356599361	-1.4661474082109505	-1.1607148790982011	-2.2054773453395806	-1.7708182325709296	-2.054536649265846	-1.4727175536828996	-1.6267678168735293	-1.4709828669725988	-1.3784455153836581	-1.1673848776400608	-1.7671315081123105	-1.4862707269333582	-1.5015114547838182	-1.1569533887899184	-2.800935152528417	-1.6914625688994271	-3.0478655064695914	-0.7826895711223276	-3.9140163089826663	-0.4999909088653942
2.99	-2.1787703918997665	-2.060893969597926	-1.8780555373536711	-1.5480908660772608	-2.5896570180591594	-2.144867881724287	-2.3687338719266284	-1.7785173495690434	-1.9147146895006772	-1.7171988166686698	-1.642534139572498	-1.3980884589862541	-2.019039037951908	-1.7111280641451567	-1.7386130061249294	-1.3728232010823274	-3.0269277295382	-1.88804143457121	-3.273858083479375	-0.9739930245393107	-4.14000888599245	-0.6865582970627794
3.3	-2.5959589115055404	-2.4424082510706944	-2.2677540874744606	-1.9194975630225397	-2.9551104580886305	-2.5043845196447876	-2.670656640476095	-2.075499864180898	-2.19323207905318	-1.9608262152422353	-1.8997520317632484	-1.6270373487008758	-2.265400192336376	-1.9343722798867382	-1.9717485113665147	-1.5875759324469716	-3.250127840615364	-2.084981210493358	-3.497058194556538	-1.1660125254341789	-4.363208997069613	-0.8740272654220271
3.65	-2.994741795192959	-2.8132984180881637	-2.641199568354346	-2.2807814824190036	-3.307321572541699	-2.8551645173177356	-2.9652166755316154	-2.3692098784412825	-2.4668926108143023	-2.2061739120065127	-2.1543677573879965	-1.8584628755003882	-2.5103203639293343	-2.160318707583395	-2.2048320185843884	-1.8054523552579405	-3.474307919869171	-2.286292267764394	-3.7212382738103456	-1.3626465311993767	-4.58738907632342	-1.066272695711314
4.04	-3.3756375559318585	-3.1739546276450348	-2.999036217605603	-2.632386770303502	-3.6467026223317296	-3.1976427541866945	-3.2527927174618894	-2.6604370886187163	-2.7359558825718744	-2.4533502189733367	-2.406537350381045	-2.0925249299317086	-2.7538970572539716	-2.38924772000657	-2.4378963891275793	-2.026838432735097	-3.6994546036273017	-2.4923562100555157	-3.9463849575684766	-1.5642930144710956	-4.812535760081552	-1.2637383398469
4.46	-3.7403506331256713	-3.5252157918349636	-3.3420996791733346	-2.974768127726231	-3.973152274146012	-3.5317669891426275	-3.531110563579007	-2.9470225431706876	-2.9972932985507503	-2.6979927756950435	-2.6523567077296564	-2.324499274241774	-2.991827910016536	-2.616271273808952	-2.666157264765282	-2.2466532426599217	-3.920422511974327	-2.6975046731384196	-4.167352865915502	-1.7651424269468228	-5.033503668428576	-1.4604447438749237
4.93	-4.090546797391877	-3.868705909822405	-3.672016384728286	-3.3095303178903395	-4.288104313180168	-3.858919905842683	-3.8013700873871326	-3.2299243704430802	-3.2519689586996154	-2.9409812011428427	-2.892768826791153	-2.555238875570716	-3.2249919179932824	-2.8422708053125074	-2.890418831681663	-2.46572835564255	-4.137960868222588	-2.9025624441575686	-4.384891222163762	-1.966055162836127	-5.2510420246768374	-1.6572625137107242
5.45	-4.4279905896245895	-4.206066964840975	-3.9907134387359173	-3.6383836600515638	-4.593460718097476	-4.1806400718596635	-4.065710066740368	-3.5104365688567443	-3.5021567388657306	-3.184295299947241	-3.1299831023887412	-2.7868365524805014	-3.4556147729734867	-3.0693552625932456	-3.112930374411535	-2.68607394047444	-4.354338356101771	-3.1096898041084935	-4.601268710042945	-2.1691470582819323	-5.46741951255602	-1.8563557969102586
6.03	-4.753262132435569	-4.5376698705988385	-4.2984933858258625	-3.961565264963094	-4.889204551051444	-4.496902689375924	-4.323410461269371	-3.787433978561665	-3.7468542320455267	-3.4264929774818143	-3.362741658207715	-3.0177957032401137	-3.6823076180537138	-3.295918841263663	-3.33214508359599	-2.9059979065850117	-4.5678902375389745	-3.316857964220282	-4.814820591480149	-2.3721291836436627	-5.680971393993223	-2.055334620374777
